iteration_id,task_count,task_locations
11,72,"[[3,5],[3,8],[3,16],[3,32],[3,40],[5,7],[5,7],[5,12],[5,12],[5,16],[5,20],[5,25],[5,30],[5,30],[5,39],[5,42],[5,44],[6,12],[6,16],[6,17],[6,21],[6,33],[6,42],[8,2],[8,5],[8,7],[8,8],[8,13],[8,23],[8,38],[8,41],[8,43],[9,3],[9,4],[9,11],[9,13],[9,25],[9,32],[9,38],[9,44],[11,12],[11,15],[11,25],[11,38],[12,8],[12,13],[12,14],[12,15],[12,20],[12,22],[12,34],[12,42],[14,2],[14,2],[14,3],[14,15],[14,29],[14,29],[14,35],[14,39],[14,40],[14,40],[15,4],[15,4],[15,12],[15,16],[15,23],[15,35],[15,40],[15,43],[17,2],[17,4]]"
12,72,"[[3,13],[3,15],[3,16],[3,26],[3,31],[3,40],[5,2],[5,4],[5,5],[5,11],[5,25],[5,31],[5,35],[5,35],[5,42],[5,43],[5,44],[6,7],[6,14],[6,20],[6,29],[6,35],[6,40],[6,42],[8,13],[8,15],[8,23],[8,25],[8,30],[8,33],[8,41],[9,3],[9,16],[9,33],[9,34],[9,40],[9,44],[11,13],[11,15],[11,23],[11,24],[11,26],[11,26],[11,35],[12,4],[12,15],[12,21],[12,25],[12,35],[12,42],[12,44],[14,5],[14,6],[14,12],[14,24],[14,24],[14,30],[14,33],[15,16],[15,20],[15,21],[15,44],[17,3],[17,11],[17,16],[17,20],[17,24],[17,29],[17,31],[17,39],[17,40],[17,44]]"
13,72,"[[3,4],[3,6],[3,8],[3,23],[3,41],[3,42],[5,2],[5,11],[5,14],[5,20],[5,24],[5,26],[5,29],[5,32],[5,39],[5,40],[6,3],[6,12],[6,24],[6,24],[6,35],[8,2],[8,7],[8,8],[8,11],[8,13],[8,23],[8,23],[8,38],[8,43],[9,13],[9,23],[9,29],[9,30],[9,31],[9,42],[9,43],[11,5],[11,6],[11,24],[11,43],[12,7],[12,11],[12,26],[12,33],[12,39],[12,40],[12,41],[14,4],[14,8],[14,16],[14,25],[14,30],[14,32],[14,39],[15,11],[15,16],[15,16],[15,24],[15,26],[15,35],[15,42],[15,43],[17,2],[17,5],[17,6],[17,15],[17,20],[17,21],[17,29],[17,34],[17,41]]"
14,72,"[[3,6],[3,7],[3,13],[3,22],[3,23],[3,26],[3,26],[3,31],[5,7],[5,8],[5,15],[5,30],[5,31],[6,2],[6,14],[6,16],[6,17],[6,22],[6,30],[6,31],[6,40],[6,43],[6,43],[8,3],[8,4],[8,4],[8,13],[8,20],[8,26],[8,29],[8,43],[9,4],[9,4],[9,23],[9,25],[9,26],[9,32],[9,39],[11,4],[11,5],[11,15],[11,21],[11,31],[11,33],[12,6],[12,8],[12,13],[12,14],[12,15],[12,33],[12,38],[12,41],[12,42],[14,3],[14,4],[14,21],[14,33],[14,43],[15,12],[15,21],[15,21],[15,32],[15,35],[17,3],[17,7],[17,11],[17,14],[17,17],[17,24],[17,33],[17,39],[17,39]]"
15,72,"[[3,22],[3,24],[3,25],[3,26],[3,32],[3,34],[5,4],[5,30],[5,38],[6,2],[6,5],[6,7],[6,11],[6,21],[6,29],[6,34],[6,41],[6,43],[8,11],[8,16],[8,17],[8,21],[8,21],[8,29],[8,33],[8,39],[8,43],[9,5],[9,20],[9,26],[9,30],[9,33],[9,40],[9,40],[11,3],[11,7],[11,12],[11,14],[11,15],[11,17],[11,22],[11,26],[11,31],[11,35],[11,43],[11,43],[12,11],[12,25],[12,26],[12,32],[12,43],[14,7],[14,7],[14,15],[14,15],[14,23],[14,26],[15,4],[15,6],[15,12],[15,22],[15,24],[15,29],[15,29],[15,31],[15,41],[17,11],[17,12],[17,14],[17,38],[17,40],[17,43]]"
16,72,"[[3,3],[3,6],[3,14],[3,17],[3,20],[3,21],[3,38],[5,2],[5,6],[5,16],[5,24],[5,25],[5,31],[5,33],[5,35],[5,41],[5,41],[5,44],[6,4],[6,5],[6,11],[6,14],[6,22],[6,26],[6,29],[6,33],[6,38],[6,39],[6,39],[8,11],[8,11],[8,24],[8,26],[8,29],[8,35],[8,41],[9,13],[9,24],[9,35],[11,12],[11,14],[11,17],[11,23],[11,26],[11,26],[11,32],[12,2],[12,3],[12,6],[12,12],[12,20],[12,31],[12,41],[14,8],[14,11],[14,17],[14,22],[14,26],[14,35],[14,40],[14,40],[14,44],[15,12],[15,16],[15,17],[15,31],[15,41],[17,12],[17,22],[17,24],[17,25],[17,26]]"
17,72,"[[3,4],[3,13],[3,13],[3,24],[3,26],[3,33],[3,34],[5,5],[5,6],[5,7],[5,22],[5,23],[5,31],[5,32],[5,44],[6,6],[6,14],[6,24],[6,33],[6,44],[8,6],[8,7],[8,8],[8,15],[8,24],[8,26],[8,30],[8,32],[8,33],[9,3],[9,6],[9,6],[9,12],[9,17],[9,24],[9,35],[9,42],[11,8],[11,11],[11,16],[11,22],[11,29],[11,31],[11,32],[11,44],[11,44],[12,6],[12,16],[12,21],[12,22],[12,26],[12,33],[12,44],[14,4],[14,6],[14,14],[14,14],[14,15],[14,20],[14,38],[15,2],[15,2],[15,32],[15,33],[15,39],[15,40],[15,42],[17,3],[17,6],[17,16],[17,30],[17,32]]"
18,72,"[[3,4],[3,14],[3,15],[3,35],[3,39],[3,42],[5,8],[5,17],[5,20],[5,24],[5,24],[5,32],[5,32],[5,34],[5,43],[6,4],[6,6],[6,11],[6,12],[6,30],[6,42],[6,44],[6,44],[8,5],[8,8],[8,22],[9,8],[9,43],[11,2],[11,3],[11,11],[11,12],[11,17],[11,23],[11,23],[11,24],[11,38],[11,43],[11,44],[12,20],[12,23],[12,24],[12,25],[12,35],[12,39],[12,42],[12,43],[14,2],[14,5],[14,7],[14,8],[14,12],[14,13],[14,15],[14,17],[14,29],[14,29],[14,31],[14,44],[15,2],[15,20],[15,20],[15,22],[15,39],[17,3],[17,8],[17,17],[17,20],[17,34],[17,40],[17,41],[17,43]]"
19,72,"[[3,4],[3,15],[3,15],[3,16],[3,29],[3,34],[3,39],[5,12],[5,22],[5,26],[5,32],[6,7],[6,11],[6,20],[6,24],[6,26],[6,29],[6,32],[6,32],[6,41],[8,2],[8,14],[8,15],[8,23],[8,31],[8,42],[9,4],[9,4],[9,15],[9,17],[9,20],[9,23],[9,30],[9,39],[9,43],[11,6],[11,13],[11,15],[11,20],[11,26],[11,33],[11,35],[11,41],[12,31],[12,32],[14,7],[14,8],[14,14],[14,22],[14,23],[14,23],[14,26],[14,30],[14,38],[14,40],[14,42],[15,8],[15,11],[15,25],[15,32],[15,38],[15,39],[17,2],[17,6],[17,8],[17,16],[17,20],[17,24],[17,29],[17,34],[17,35],[17,44]]"
20,72,"[[3,2],[3,7],[3,8],[3,12],[3,15],[3,20],[3,23],[3,29],[5,4],[5,12],[5,20],[5,25],[5,29],[5,44],[6,5],[6,6],[6,14],[6,25],[6,35],[6,43],[8,2],[8,3],[8,11],[8,23],[8,35],[8,43],[9,7],[9,15],[9,22],[9,25],[9,29],[9,30],[9,31],[11,12],[11,14],[11,29],[11,40],[11,42],[12,4],[12,6],[12,13],[12,17],[12,21],[12,32],[12,39],[14,4],[14,5],[14,11],[14,23],[14,31],[14,34],[14,39],[14,41],[14,43],[15,5],[15,8],[15,14],[15,15],[15,26],[15,30],[15,41],[17,2],[17,7],[17,13],[17,16],[17,22],[17,22],[17,26],[17,29],[17,33],[17,40],[17,43]]"
21,72,"[[3,3],[3,16],[3,20],[3,24],[3,25],[3,29],[3,39],[3,43],[3,43],[5,17],[5,21],[5,31],[5,41],[6,4],[6,6],[6,11],[6,13],[6,17],[6,17],[6,22],[6,23],[6,30],[6,35],[6,40],[6,40],[6,41],[8,7],[8,7],[8,21],[8,23],[8,29],[8,35],[9,2],[9,2],[9,6],[9,12],[9,14],[9,26],[9,31],[9,35],[11,7],[11,12],[11,16],[11,22],[11,22],[11,22],[11,31],[11,35],[11,42],[11,42],[11,44],[12,2],[12,5],[12,6],[12,16],[12,30],[12,33],[14,8],[14,12],[14,40],[14,41],[14,44],[15,3],[15,3],[15,14],[15,29],[15,31],[15,31],[17,5],[17,5],[17,16],[17,31]]"
22,72,"[[3,7],[3,8],[3,12],[3,20],[3,23],[5,13],[5,14],[5,17],[5,24],[5,26],[5,30],[5,31],[5,35],[5,42],[6,2],[6,5],[6,11],[6,22],[6,22],[6,23],[6,39],[6,41],[6,44],[8,7],[8,7],[8,15],[8,21],[8,44],[9,5],[9,8],[9,15],[9,17],[9,31],[9,38],[9,39],[9,42],[11,6],[11,7],[11,13],[11,14],[11,26],[11,30],[11,30],[11,41],[12,2],[12,3],[12,7],[12,14],[12,15],[12,21],[12,31],[12,42],[14,11],[14,20],[14,42],[15,2],[15,2],[15,4],[15,17],[15,21],[15,26],[15,30],[15,31],[15,33],[15,42],[15,44],[17,12],[17,14],[17,20],[17,20],[17,30],[17,39]]"
23,72,"[[3,2],[3,12],[3,15],[3,15],[3,26],[3,30],[3,41],[3,42],[5,3],[5,8],[5,14],[5,25],[5,31],[5,38],[5,44],[6,13],[6,20],[6,20],[6,23],[6,43],[6,44],[8,5],[8,6],[8,17],[8,21],[8,34],[8,34],[9,2],[9,12],[9,13],[9,22],[9,23],[9,24],[9,30],[9,31],[9,39],[11,4],[11,6],[11,14],[11,17],[11,32],[12,2],[12,8],[12,13],[12,17],[12,17],[12,30],[12,32],[12,34],[12,43],[14,4],[14,5],[14,12],[14,21],[14,24],[14,24],[14,31],[14,39],[15,5],[15,21],[15,23],[15,33],[15,41],[17,2],[17,4],[17,5],[17,15],[17,16],[17,24],[17,26],[17,31],[17,38]]"
24,72,"[[3,5],[3,5],[3,11],[3,14],[3,16],[3,20],[3,23],[3,33],[3,35],[3,38],[3,39],[3,42],[5,2],[5,2],[5,12],[5,23],[5,26],[5,34],[5,34],[6,8],[6,16],[6,16],[6,30],[6,39],[6,43],[6,43],[8,8],[8,24],[8,30],[8,41],[9,5],[9,17],[9,24],[9,31],[9,35],[9,38],[9,44],[11,3],[11,8],[11,11],[11,21],[11,23],[11,24],[11,34],[11,38],[12,8],[12,12],[12,13],[12,14],[12,23],[12,31],[12,31],[12,33],[12,33],[12,43],[14,5],[14,8],[14,8],[14,23],[14,42],[14,44],[15,2],[15,4],[15,20],[15,21],[15,24],[15,25],[17,12],[17,32],[17,33],[17,33],[17,33]]"
25,72,"[[3,2],[3,8],[3,14],[3,17],[3,24],[3,26],[3,40],[3,42],[5,6],[5,8],[5,17],[5,29],[5,33],[6,4],[6,5],[6,15],[6,22],[6,23],[6,29],[6,30],[6,34],[6,40],[6,43],[8,12],[8,13],[8,15],[8,22],[8,23],[8,35],[8,40],[8,42],[9,14],[9,15],[9,42],[9,43],[11,7],[11,7],[11,7],[11,16],[11,21],[11,33],[11,34],[12,16],[12,25],[12,31],[12,35],[12,40],[12,43],[12,44],[12,44],[14,6],[14,11],[14,11],[14,20],[14,24],[14,31],[14,34],[15,3],[15,4],[15,5],[15,22],[15,23],[15,25],[15,33],[15,40],[15,42],[15,43],[15,44],[17,7],[17,12],[17,15],[17,17]]"
26,72,"[[3,5],[3,7],[3,14],[3,16],[3,22],[3,23],[3,32],[3,35],[3,35],[3,39],[3,40],[3,44],[3,44],[5,2],[5,5],[5,13],[5,15],[6,8],[6,12],[6,12],[6,21],[6,39],[6,39],[6,41],[8,11],[8,13],[8,39],[9,4],[9,7],[9,12],[9,15],[9,21],[9,25],[9,29],[9,29],[9,29],[9,38],[9,38],[11,3],[11,4],[11,14],[11,34],[11,44],[12,4],[12,6],[12,8],[12,31],[12,35],[12,44],[14,5],[14,22],[14,22],[14,22],[14,26],[14,29],[14,35],[15,4],[15,11],[15,29],[15,38],[17,5],[17,14],[17,15],[17,16],[17,21],[17,25],[17,26],[17,26],[17,34],[17,35],[17,38],[17,40]]"
27,72,"[[3,4],[3,4],[3,7],[3,7],[3,11],[3,24],[3,32],[3,39],[3,43],[3,43],[5,13],[5,17],[5,30],[5,31],[5,35],[5,38],[6,7],[6,41],[8,2],[8,3],[8,5],[8,14],[8,16],[8,20],[8,22],[8,34],[8,34],[8,43],[8,43],[9,3],[9,5],[9,17],[9,20],[9,35],[11,7],[11,11],[11,15],[11,26],[11,35],[11,35],[11,39],[12,11],[12,15],[12,25],[12,26],[12,35],[12,38],[12,41],[12,43],[14,5],[14,5],[14,5],[14,6],[14,14],[14,17],[14,34],[14,38],[15,5],[15,13],[15,14],[15,20],[15,21],[15,31],[15,31],[15,34],[17,5],[17,6],[17,15],[17,17],[17,23],[17,24],[17,40]]"
28,72,"[[3,4],[3,7],[3,8],[3,11],[3,15],[3,17],[3,23],[3,24],[3,26],[3,31],[3,32],[3,41],[3,41],[5,13],[5,26],[6,21],[6,24],[6,26],[6,32],[6,33],[6,38],[8,3],[8,3],[8,5],[8,26],[8,30],[8,31],[8,39],[8,43],[9,15],[9,35],[9,38],[11,5],[11,7],[11,14],[11,14],[11,14],[11,29],[11,30],[11,35],[11,39],[11,41],[11,43],[12,3],[12,4],[12,4],[12,7],[12,11],[12,14],[12,16],[12,22],[12,29],[12,39],[12,42],[14,15],[14,20],[14,23],[14,25],[14,34],[15,6],[15,22],[15,29],[15,32],[15,41],[17,4],[17,12],[17,14],[17,14],[17,16],[17,39],[17,40],[17,41]]"
29,72,"[[3,3],[3,14],[3,21],[3,31],[3,33],[3,38],[3,40],[5,5],[5,21],[5,23],[5,24],[5,33],[5,44],[6,12],[6,16],[6,16],[6,23],[6,31],[6,32],[8,7],[8,13],[8,24],[8,25],[8,30],[8,35],[8,39],[8,39],[9,2],[9,4],[9,7],[9,7],[9,15],[9,24],[9,25],[9,31],[9,38],[9,41],[9,41],[9,41],[11,11],[11,12],[11,22],[11,23],[12,4],[12,5],[12,6],[12,12],[12,32],[12,34],[12,35],[12,39],[14,6],[14,11],[14,14],[14,17],[14,24],[14,26],[14,31],[14,38],[14,41],[14,44],[15,13],[15,14],[15,17],[15,20],[15,22],[15,24],[17,2],[17,11],[17,38],[17,39],[17,44]]"
30,72,"[[3,7],[3,25],[3,26],[3,35],[3,39],[3,40],[5,2],[5,12],[5,14],[5,14],[5,21],[5,23],[5,29],[5,32],[5,34],[6,2],[6,14],[6,29],[6,30],[6,39],[6,43],[8,2],[8,7],[8,8],[8,14],[8,29],[8,34],[9,3],[9,8],[9,14],[9,15],[9,22],[9,26],[9,30],[9,39],[9,40],[9,44],[11,4],[11,23],[11,25],[11,41],[12,22],[12,24],[12,38],[14,4],[14,5],[14,8],[14,14],[14,15],[14,15],[14,17],[14,26],[14,33],[14,33],[14,34],[14,34],[14,40],[14,41],[14,43],[15,5],[15,8],[15,17],[15,17],[15,17],[15,23],[15,30],[15,31],[15,35],[17,6],[17,7],[17,11],[17,42]]"
