iteration_id,task_count,task_locations
11,72,"[[3,7],[3,17],[3,35],[3,40],[3,42],[5,4],[5,8],[5,8],[5,15],[5,17],[5,24],[5,38],[5,39],[6,5],[6,16],[6,35],[6,38],[6,41],[8,3],[8,5],[8,5],[8,11],[8,25],[8,32],[8,35],[8,39],[9,4],[9,8],[9,13],[9,16],[9,20],[9,25],[9,29],[9,32],[9,33],[9,43],[9,43],[11,29],[12,8],[12,13],[12,20],[12,24],[12,29],[12,31],[12,35],[12,39],[14,13],[14,15],[14,22],[14,25],[14,30],[14,38],[14,40],[15,6],[15,16],[15,20],[15,23],[15,31],[15,32],[15,38],[15,44],[17,2],[17,2],[17,4],[17,11],[17,14],[17,16],[17,20],[17,21],[17,34],[17,38],[17,41]]"
12,72,"[[3,11],[3,12],[3,20],[3,25],[3,34],[3,38],[3,42],[3,44],[5,11],[5,13],[5,25],[5,30],[5,30],[5,35],[5,43],[6,5],[6,8],[6,11],[6,15],[6,16],[6,23],[6,30],[8,3],[8,6],[8,13],[8,30],[8,43],[9,3],[9,7],[9,13],[9,13],[9,21],[9,23],[9,24],[9,29],[9,32],[9,39],[9,39],[9,41],[9,42],[11,3],[11,5],[11,11],[11,12],[11,20],[11,33],[12,3],[12,12],[12,15],[12,24],[12,33],[12,34],[12,39],[12,40],[12,43],[14,8],[14,15],[14,22],[14,25],[14,34],[14,39],[15,5],[15,12],[15,13],[15,34],[15,35],[15,42],[17,2],[17,5],[17,13],[17,15],[17,31]]"
13,72,"[[3,2],[3,8],[3,16],[3,17],[3,23],[3,24],[3,29],[5,6],[5,8],[5,12],[5,16],[5,22],[5,22],[5,33],[5,38],[5,40],[6,13],[6,26],[6,35],[6,39],[6,40],[8,2],[8,3],[8,11],[8,13],[8,21],[8,24],[8,32],[9,5],[9,8],[9,32],[9,38],[9,42],[11,3],[11,6],[11,11],[11,15],[11,17],[11,25],[11,26],[11,29],[11,30],[11,40],[11,41],[12,4],[12,12],[12,16],[12,20],[12,20],[12,20],[12,35],[12,38],[12,39],[12,41],[12,44],[14,6],[14,24],[15,3],[15,30],[15,32],[15,34],[15,42],[17,4],[17,7],[17,8],[17,22],[17,23],[17,24],[17,35],[17,40],[17,40],[17,42]]"
14,72,"[[3,4],[3,13],[3,20],[3,33],[3,34],[3,38],[3,43],[3,44],[5,3],[5,5],[5,6],[5,13],[5,14],[5,17],[5,20],[5,23],[5,29],[5,42],[6,17],[6,34],[6,43],[8,3],[8,6],[8,20],[8,24],[8,25],[8,25],[8,33],[8,41],[8,42],[8,43],[9,2],[9,3],[9,5],[9,15],[9,39],[9,43],[9,44],[11,11],[11,23],[11,35],[11,42],[12,13],[12,21],[12,24],[12,25],[12,29],[12,34],[14,3],[14,4],[14,7],[14,7],[14,12],[14,15],[14,16],[14,21],[14,29],[14,32],[14,38],[14,44],[15,2],[15,21],[15,30],[15,32],[15,34],[15,42],[17,4],[17,13],[17,15],[17,26],[17,33],[17,43]]"
15,72,"[[3,5],[3,8],[3,24],[3,26],[3,31],[3,40],[5,4],[5,13],[5,13],[5,24],[5,33],[5,42],[5,43],[6,2],[6,2],[6,6],[6,15],[6,29],[6,32],[6,38],[6,42],[6,44],[6,44],[8,6],[8,22],[8,26],[8,34],[8,34],[9,5],[9,7],[9,12],[9,16],[9,31],[9,33],[9,44],[11,5],[11,6],[11,13],[11,26],[11,32],[11,35],[11,39],[11,42],[12,11],[12,25],[12,30],[12,32],[12,34],[12,35],[12,43],[14,2],[14,2],[14,7],[14,14],[14,16],[14,17],[14,26],[14,26],[14,26],[14,38],[14,42],[14,43],[15,6],[15,26],[15,44],[17,4],[17,4],[17,11],[17,23],[17,31],[17,39],[17,41]]"
16,72,"[[3,2],[3,5],[3,5],[3,16],[3,17],[3,26],[3,34],[3,40],[5,5],[5,17],[5,17],[5,20],[5,29],[5,32],[5,35],[5,43],[6,3],[6,20],[6,31],[6,33],[6,40],[6,42],[8,6],[8,14],[8,21],[8,30],[8,31],[9,4],[9,6],[9,15],[9,23],[9,30],[9,39],[11,3],[11,11],[11,20],[11,24],[11,34],[11,35],[11,38],[12,11],[12,12],[12,22],[12,30],[12,43],[12,43],[14,4],[14,16],[14,20],[14,20],[14,26],[14,32],[14,40],[14,41],[15,5],[15,5],[15,8],[15,12],[15,12],[15,24],[15,25],[15,30],[15,35],[15,38],[15,38],[15,41],[15,44],[17,3],[17,13],[17,21],[17,22],[17,33]]"
17,72,"[[3,11],[3,17],[3,30],[3,31],[3,34],[3,40],[5,20],[5,23],[5,23],[5,26],[5,31],[5,39],[5,40],[5,42],[6,3],[6,5],[6,7],[6,12],[6,13],[6,29],[6,38],[6,38],[6,43],[8,7],[8,14],[8,14],[8,22],[8,23],[8,29],[8,34],[8,35],[8,43],[9,11],[9,26],[9,44],[11,2],[11,2],[11,20],[11,22],[11,34],[11,40],[12,3],[12,12],[12,14],[12,17],[12,22],[12,23],[12,40],[12,42],[12,44],[14,4],[14,6],[14,14],[14,20],[14,24],[14,30],[14,33],[14,40],[15,3],[15,38],[15,40],[15,41],[17,2],[17,6],[17,7],[17,12],[17,14],[17,24],[17,25],[17,26],[17,33],[17,41]]"
18,72,"[[3,13],[3,23],[3,24],[3,24],[3,25],[5,17],[5,32],[5,32],[5,38],[5,40],[6,2],[6,6],[6,7],[6,11],[6,13],[6,17],[6,23],[6,31],[6,39],[6,39],[8,5],[8,13],[8,32],[8,32],[8,38],[8,44],[9,6],[9,8],[9,34],[9,39],[9,41],[11,5],[11,13],[11,14],[11,20],[11,25],[11,25],[11,29],[11,32],[11,35],[11,43],[12,4],[12,14],[12,16],[12,26],[12,26],[12,34],[12,39],[12,42],[12,44],[14,3],[14,5],[14,13],[14,16],[14,21],[14,25],[14,40],[15,4],[15,7],[15,20],[15,23],[15,23],[15,33],[15,35],[15,41],[15,42],[17,7],[17,20],[17,29],[17,35],[17,38],[17,42]]"
19,72,"[[3,5],[3,13],[3,14],[3,20],[3,22],[3,29],[3,34],[3,34],[5,3],[5,4],[5,8],[5,33],[5,38],[5,41],[5,42],[5,43],[6,2],[6,7],[6,16],[6,25],[6,39],[8,4],[8,8],[8,13],[8,14],[8,30],[8,34],[8,35],[9,6],[9,14],[9,21],[9,22],[9,25],[9,29],[9,31],[9,34],[9,40],[9,41],[11,8],[11,11],[11,11],[11,35],[11,40],[12,3],[12,4],[12,13],[12,22],[12,23],[12,34],[14,2],[14,7],[14,11],[14,11],[14,12],[14,20],[14,33],[14,34],[14,40],[14,42],[15,14],[15,21],[15,25],[15,26],[15,30],[15,35],[17,6],[17,8],[17,24],[17,33],[17,34],[17,41],[17,42]]"
20,72,"[[3,7],[3,16],[3,21],[3,22],[3,29],[3,35],[3,41],[3,44],[5,4],[5,7],[5,8],[5,11],[5,13],[5,14],[5,21],[5,31],[5,33],[5,41],[5,43],[6,5],[6,22],[6,30],[6,32],[6,34],[8,3],[8,5],[8,6],[8,14],[8,22],[8,23],[8,30],[8,38],[8,42],[9,2],[9,7],[9,15],[9,20],[9,30],[9,32],[9,33],[9,38],[11,3],[11,29],[11,41],[11,42],[11,43],[12,13],[12,31],[12,35],[14,2],[14,2],[14,3],[14,7],[14,14],[14,14],[14,17],[14,25],[14,26],[14,30],[14,39],[14,40],[14,40],[15,3],[15,11],[15,20],[15,20],[15,30],[15,34],[15,41],[17,3],[17,21],[17,30]]"
21,72,"[[3,6],[3,7],[3,11],[3,15],[3,17],[3,22],[3,26],[3,32],[3,34],[3,41],[3,42],[3,42],[3,44],[5,6],[5,8],[5,20],[5,30],[5,34],[6,8],[6,11],[6,30],[6,40],[8,2],[8,4],[8,23],[8,26],[8,30],[8,31],[8,35],[8,38],[8,44],[8,44],[9,20],[9,24],[9,40],[11,4],[11,5],[11,21],[11,26],[11,31],[11,33],[11,33],[11,38],[11,41],[11,42],[12,2],[12,4],[12,6],[12,21],[12,34],[12,40],[12,40],[14,5],[14,13],[14,16],[14,33],[14,35],[14,40],[14,44],[15,2],[15,5],[15,12],[15,17],[15,23],[15,39],[15,39],[15,40],[17,7],[17,13],[17,17],[17,31],[17,42]]"
22,72,"[[3,2],[3,3],[3,5],[3,17],[3,20],[3,22],[3,26],[3,29],[3,40],[5,11],[5,14],[5,33],[5,39],[6,2],[6,3],[6,4],[6,13],[6,16],[6,33],[6,42],[6,43],[8,7],[8,12],[8,17],[8,21],[8,23],[8,26],[8,29],[8,34],[8,38],[8,41],[9,8],[9,11],[9,15],[9,23],[9,24],[9,32],[9,39],[9,39],[11,6],[11,22],[11,26],[11,39],[11,42],[12,16],[12,26],[12,30],[12,42],[14,4],[14,5],[14,12],[14,14],[14,16],[14,26],[14,29],[14,30],[14,34],[15,3],[15,5],[15,12],[15,21],[15,21],[15,30],[17,2],[17,11],[17,12],[17,24],[17,25],[17,29],[17,34],[17,39],[17,43]]"
23,72,"[[3,3],[3,4],[3,8],[3,11],[3,12],[3,23],[3,24],[3,33],[3,33],[3,33],[3,43],[5,3],[5,20],[5,21],[5,29],[5,42],[6,2],[6,17],[6,17],[6,20],[6,25],[6,29],[6,35],[6,38],[6,39],[8,8],[8,20],[8,26],[8,43],[8,44],[9,17],[9,22],[9,30],[9,42],[9,42],[9,43],[11,5],[11,6],[11,8],[11,11],[11,12],[11,17],[11,22],[11,26],[11,42],[12,2],[12,16],[12,17],[12,35],[12,35],[12,43],[12,43],[14,3],[14,12],[14,24],[14,25],[14,25],[14,30],[14,32],[15,3],[15,12],[15,16],[15,24],[15,39],[15,42],[15,44],[17,11],[17,29],[17,29],[17,35],[17,35],[17,42]]"
24,72,"[[3,3],[3,4],[3,6],[3,8],[3,12],[3,16],[3,16],[3,22],[3,22],[3,40],[3,40],[3,42],[5,13],[5,24],[5,25],[5,33],[5,40],[6,3],[6,17],[6,24],[6,29],[6,33],[6,41],[6,44],[8,4],[8,21],[8,26],[8,32],[8,35],[9,12],[9,16],[9,22],[9,41],[11,5],[11,11],[11,12],[11,23],[11,33],[11,41],[11,41],[11,42],[12,17],[12,20],[12,33],[12,33],[12,40],[12,41],[14,6],[14,15],[14,16],[14,20],[14,29],[14,29],[14,39],[15,16],[15,26],[15,30],[15,31],[15,44],[15,44],[17,3],[17,3],[17,7],[17,11],[17,11],[17,24],[17,26],[17,26],[17,30],[17,34],[17,42],[17,44]]"
25,72,"[[3,8],[3,8],[3,13],[3,15],[3,16],[3,21],[3,24],[3,29],[3,33],[3,35],[3,35],[3,44],[3,44],[5,2],[5,3],[5,17],[5,21],[5,43],[5,43],[6,3],[6,12],[6,17],[6,20],[6,22],[6,24],[6,29],[6,34],[6,43],[8,2],[8,4],[8,5],[8,11],[8,13],[8,21],[8,33],[8,35],[9,8],[9,8],[9,15],[9,21],[9,24],[9,31],[9,32],[9,32],[9,39],[11,4],[11,21],[11,23],[11,41],[11,43],[12,16],[12,17],[12,21],[12,22],[12,35],[12,39],[12,42],[14,4],[14,6],[14,11],[14,20],[14,24],[14,33],[14,34],[15,7],[15,22],[15,30],[15,32],[15,43],[17,4],[17,31],[17,32]]"
26,72,"[[3,6],[3,6],[3,13],[3,13],[3,16],[3,22],[3,23],[3,25],[3,34],[3,39],[3,39],[3,40],[5,2],[5,5],[5,17],[5,22],[5,32],[5,32],[5,34],[5,40],[6,4],[6,5],[6,8],[6,17],[6,34],[8,7],[8,14],[8,44],[9,4],[9,8],[9,15],[9,16],[9,26],[9,26],[9,29],[9,31],[9,33],[9,38],[9,41],[11,5],[11,7],[11,22],[11,26],[11,31],[11,38],[11,44],[12,11],[12,14],[12,23],[12,32],[12,39],[14,20],[14,24],[14,26],[14,39],[15,7],[15,11],[15,11],[15,14],[15,23],[15,26],[15,29],[15,32],[15,35],[15,38],[15,39],[15,39],[17,8],[17,15],[17,23],[17,24],[17,29]]"
27,72,"[[3,4],[3,14],[3,21],[3,33],[5,4],[5,8],[5,11],[5,12],[5,17],[5,22],[5,22],[5,26],[5,41],[5,43],[5,44],[6,7],[6,12],[6,13],[6,20],[6,23],[6,23],[6,43],[8,3],[8,13],[8,13],[8,23],[8,31],[8,40],[8,40],[8,44],[9,4],[9,7],[9,22],[9,23],[9,29],[9,30],[9,38],[9,44],[11,3],[11,4],[11,13],[11,16],[11,23],[11,32],[11,35],[11,38],[11,43],[12,2],[12,3],[12,4],[12,20],[12,24],[12,29],[12,30],[12,33],[14,4],[14,13],[14,15],[14,32],[15,5],[15,8],[15,11],[15,12],[15,15],[15,31],[15,34],[15,38],[15,43],[15,43],[17,5],[17,12],[17,44]]"
28,72,"[[3,7],[3,8],[3,12],[3,26],[5,13],[5,16],[5,26],[5,35],[5,39],[5,40],[5,40],[5,41],[6,5],[6,7],[6,22],[6,22],[6,26],[6,35],[8,2],[8,6],[8,12],[8,16],[8,17],[8,22],[8,43],[8,43],[9,2],[9,25],[9,25],[9,26],[9,42],[9,42],[9,43],[11,2],[11,3],[11,5],[11,26],[11,32],[11,41],[12,6],[12,8],[12,13],[12,14],[12,15],[12,17],[12,25],[12,25],[12,29],[12,29],[12,35],[12,38],[12,40],[12,41],[14,5],[14,5],[14,22],[14,33],[14,43],[15,2],[15,3],[15,7],[15,8],[15,29],[15,40],[17,11],[17,16],[17,26],[17,31],[17,31],[17,42],[17,44],[17,44]]"
29,72,"[[3,4],[3,6],[3,6],[3,13],[3,14],[3,15],[3,34],[3,38],[3,39],[3,41],[3,43],[5,5],[5,16],[5,24],[5,26],[5,26],[5,29],[5,33],[6,11],[6,20],[6,34],[8,4],[8,20],[8,22],[8,23],[8,33],[8,40],[8,44],[9,3],[9,5],[9,7],[9,26],[9,26],[9,29],[9,35],[9,38],[9,41],[11,4],[11,13],[11,13],[11,17],[11,17],[11,34],[11,34],[11,40],[11,41],[12,4],[12,7],[12,7],[12,34],[12,39],[12,44],[14,5],[14,14],[14,14],[14,26],[14,29],[14,30],[14,33],[14,41],[15,3],[15,17],[15,22],[15,29],[15,32],[15,35],[17,6],[17,13],[17,22],[17,35],[17,38],[17,41]]"
30,72,"[[3,13],[3,16],[3,22],[3,38],[5,12],[5,16],[5,21],[5,33],[5,33],[5,34],[5,35],[5,40],[6,2],[6,3],[6,13],[6,16],[8,6],[8,14],[8,17],[8,22],[8,24],[8,25],[8,26],[8,29],[8,33],[8,35],[8,38],[8,41],[8,42],[8,43],[9,3],[9,5],[9,6],[9,11],[9,13],[9,22],[9,25],[9,29],[9,31],[9,32],[9,35],[9,44],[11,3],[11,16],[11,20],[11,24],[11,38],[11,39],[11,43],[12,13],[12,14],[12,14],[12,26],[12,31],[14,17],[14,22],[14,23],[14,34],[14,39],[15,6],[15,13],[15,17],[15,21],[15,38],[15,41],[17,3],[17,6],[17,7],[17,13],[17,14],[17,31],[17,39]]"
