iteration_id,task_count,task_locations
13,36,"[[3,16],[5,25],[5,29],[5,35],[6,7],[6,8],[6,13],[6,13],[6,21],[6,25],[6,33],[8,13],[9,12],[11,11],[11,15],[11,39],[12,13],[12,13],[12,23],[12,30],[12,35],[14,7],[14,25],[14,32],[15,3],[15,11],[15,22],[15,34],[15,38],[17,14],[17,16],[17,21],[17,30],[17,30],[17,33],[17,42]]"
14,36,"[[3,7],[3,26],[3,26],[3,35],[5,14],[5,20],[5,30],[5,38],[6,13],[6,21],[6,31],[6,41],[8,12],[8,21],[8,25],[8,33],[8,39],[8,40],[8,41],[9,8],[9,33],[9,35],[9,42],[11,30],[11,32],[11,39],[11,41],[12,21],[14,17],[14,17],[14,31],[14,38],[15,5],[15,12],[15,38],[17,4]]"
15,36,"[[3,21],[3,30],[5,12],[5,17],[5,23],[6,17],[6,21],[6,29],[6,32],[6,41],[6,44],[8,4],[8,5],[8,6],[11,2],[11,25],[11,32],[12,8],[12,12],[12,13],[12,43],[14,6],[14,14],[14,16],[14,21],[14,31],[15,23],[15,24],[17,4],[17,5],[17,6],[17,8],[17,22],[17,22],[17,32],[17,44]]"
16,36,"[[3,6],[3,8],[3,20],[3,34],[3,40],[5,11],[5,31],[5,35],[6,4],[6,25],[6,26],[8,22],[8,22],[8,44],[9,26],[9,30],[11,2],[11,3],[11,13],[11,13],[11,22],[11,30],[11,39],[12,2],[12,16],[12,26],[14,2],[14,12],[14,20],[14,40],[14,43],[15,5],[15,22],[17,31],[17,34],[17,34]]"
17,36,"[[3,22],[3,29],[5,31],[5,34],[5,35],[5,42],[6,12],[6,14],[6,15],[6,30],[6,30],[6,42],[8,20],[8,34],[8,41],[9,20],[9,26],[11,3],[11,11],[11,29],[11,38],[12,11],[12,21],[12,25],[12,26],[14,5],[14,22],[14,30],[14,30],[14,34],[15,6],[15,23],[15,25],[17,12],[17,17],[17,39]]"
18,36,"[[3,11],[3,29],[5,7],[5,22],[6,20],[8,14],[8,15],[8,29],[8,31],[8,32],[9,14],[9,35],[9,40],[9,41],[9,42],[11,14],[11,40],[12,8],[12,21],[12,43],[12,44],[14,14],[14,15],[14,29],[14,31],[14,39],[14,43],[15,2],[15,3],[15,4],[15,32],[15,44],[17,6],[17,21],[17,26],[17,34]]"
19,36,"[[3,4],[3,30],[5,7],[5,30],[6,2],[6,2],[6,13],[6,30],[8,5],[8,5],[8,29],[8,34],[8,40],[9,7],[9,16],[9,42],[12,23],[12,38],[14,2],[14,12],[14,13],[14,17],[14,25],[14,29],[14,33],[14,44],[15,8],[15,8],[15,14],[15,22],[15,29],[15,38],[17,5],[17,17],[17,24],[17,29]]"
20,36,"[[3,12],[3,30],[3,39],[5,5],[5,33],[5,34],[5,40],[5,41],[6,2],[6,32],[8,16],[8,38],[9,3],[9,4],[9,11],[9,25],[11,12],[11,35],[11,40],[11,44],[12,8],[12,8],[12,26],[14,8],[14,12],[14,15],[14,41],[15,20],[15,29],[15,32],[15,33],[15,33],[15,41],[15,43],[17,4],[17,6]]"
21,36,"[[3,12],[3,16],[3,32],[5,11],[5,22],[5,33],[6,15],[6,22],[6,35],[8,5],[8,5],[8,11],[8,22],[8,25],[8,25],[8,30],[9,21],[9,40],[9,40],[11,22],[11,24],[11,31],[12,5],[12,14],[12,23],[12,41],[12,42],[14,4],[14,7],[14,33],[14,42],[14,44],[15,2],[15,2],[15,12],[15,39]]"
22,36,"[[5,11],[5,44],[6,29],[6,43],[6,44],[8,23],[8,43],[9,12],[9,12],[9,25],[9,32],[9,33],[11,2],[11,30],[11,39],[11,39],[11,40],[12,7],[12,12],[12,20],[12,29],[12,30],[12,42],[14,5],[14,40],[14,42],[15,11],[15,16],[15,38],[17,3],[17,17],[17,30],[17,34],[17,41],[17,42],[17,44]]"
23,36,"[[3,12],[3,20],[5,3],[5,22],[5,29],[5,38],[5,42],[6,6],[6,7],[6,35],[8,8],[8,17],[8,20],[8,42],[9,5],[9,26],[9,40],[9,44],[11,29],[12,3],[12,4],[12,7],[12,15],[12,30],[12,30],[12,42],[14,4],[14,11],[14,13],[14,21],[15,22],[15,41],[15,42],[17,5],[17,14],[17,32]]"
24,36,"[[3,8],[3,20],[3,21],[3,25],[3,44],[5,17],[5,35],[5,39],[6,2],[6,23],[6,24],[8,8],[8,15],[8,33],[8,42],[9,4],[9,40],[11,22],[11,24],[11,41],[12,5],[12,11],[12,11],[12,21],[12,21],[12,25],[14,4],[14,4],[14,14],[14,30],[14,33],[15,3],[15,26],[17,20],[17,22],[17,32]]"
25,36,"[[3,11],[3,20],[3,35],[5,15],[5,39],[5,40],[6,14],[6,26],[6,34],[6,34],[6,38],[8,13],[8,17],[8,24],[8,34],[9,20],[11,13],[11,13],[11,17],[11,20],[12,8],[12,13],[12,31],[12,35],[14,4],[14,33],[15,13],[15,15],[15,24],[15,42],[15,44],[17,7],[17,14],[17,29],[17,31],[17,42]]"
26,36,"[[3,6],[3,11],[3,22],[3,35],[3,43],[6,2],[6,26],[6,35],[6,39],[8,11],[8,16],[8,33],[8,35],[9,2],[9,14],[9,23],[9,41],[11,4],[11,15],[11,29],[11,30],[12,15],[12,23],[12,25],[14,7],[14,26],[15,5],[15,7],[15,8],[15,14],[15,26],[17,11],[17,13],[17,14],[17,42],[17,42]]"
27,36,"[[3,15],[3,21],[5,6],[5,13],[5,21],[6,11],[6,43],[8,14],[8,17],[8,20],[8,39],[9,3],[9,39],[9,42],[9,43],[11,22],[11,41],[12,2],[12,16],[12,17],[12,21],[12,24],[12,43],[14,6],[14,13],[14,14],[14,24],[14,31],[14,32],[14,35],[15,8],[15,24],[15,29],[15,40],[15,41],[17,14]]"
28,36,"[[3,12],[3,13],[3,14],[3,21],[3,21],[3,26],[3,35],[3,35],[5,5],[5,12],[5,22],[5,35],[5,41],[5,41],[6,7],[6,7],[6,12],[6,25],[8,34],[9,8],[9,23],[9,32],[11,29],[11,30],[12,21],[12,29],[12,35],[14,39],[14,40],[15,17],[15,34],[15,38],[17,11],[17,16],[17,20],[17,44]]"
29,36,"[[5,12],[5,15],[5,26],[5,44],[6,8],[6,15],[6,21],[6,33],[6,38],[6,42],[8,5],[8,17],[9,11],[9,24],[9,31],[12,15],[12,16],[12,26],[14,4],[14,13],[14,21],[14,25],[14,29],[14,38],[14,39],[14,40],[15,3],[15,14],[17,6],[17,15],[17,17],[17,22],[17,30],[17,32],[17,42],[17,44]]"
30,36,"[[3,2],[3,3],[3,5],[3,8],[3,14],[3,26],[3,33],[3,35],[3,41],[3,41],[5,24],[5,32],[5,35],[5,40],[5,42],[6,11],[6,22],[6,29],[8,16],[8,22],[9,29],[9,29],[9,39],[11,30],[11,33],[12,11],[12,29],[14,16],[14,21],[15,4],[15,5],[15,7],[15,12],[15,29],[15,40],[17,41]]"
